iter	Passed	Remaining
0	1	105
1	1	97
2	3	97
3	4	96
4	5	98
5	6	95
6	7	96
7	8	95
8	9	93
9	10	92
10	11	91
11	12	89
12	13	88
13	14	87
14	15	86
15	16	84
16	17	83
17	18	82
18	19	81
19	20	81
20	21	80
21	22	80
22	23	79
23	24	78
24	25	77
25	26	76
26	27	75
27	28	73
28	29	73
29	30	71
30	31	71
31	32	69
32	33	68
33	35	67
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	60
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	51	53
49	52	52
50	53	51
51	55	50
52	56	49
53	57	48
54	57	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	23
78	82	22
79	83	20
80	84	19
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
